Easting,Northing,Name,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,,
583398,8503336,Masatila ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583422,8490686,Chimwaza,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583439,8502984,Chiphazi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583440,8504800,Mdoliro ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583475,8494148,Chinyanya 4,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583479,8504958,Mdoliro 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583513,8489966,Pondapo,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583532,8502861,Kaphesi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583609,8502536,Kamphwiti ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583615,8504689,Njovuyalema ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583629,8498913,Chimpeni school ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583636,8486428,Chingowe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583645,8783459,Jumbi,Sawa Group,9/24/2016,,Rumphi,0.00001,0.00001,0.00001,,Functional,,
583650,8486766,Mpango ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583650,8498811,Chimpeni primary school,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583659,8490582,Kalengamitambo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583659,8492495,Mphepo  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583709,8491873,Ntchita ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583719,8493672,Sendera ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583749,8418104,Mgombe,Sawa Group,9/2/2016,,Lilongwe,0.00001,0.00001,0.00001,,Functional,,
583786,8517620,Kambala  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583798,8513445,Mtsilo   Primary   School    ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583837,8489308,Mtande,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583842,8479646,Chimbalanga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583883,8484168,Chiluzi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583892,8517858,Mlengwe,Sawa Group,8/14/2016,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583895,8492751,Mwadenje ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583920,8517858,Zomba,Sawa Group,8/11/2016,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583921,8517752,Mimbayakana  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
583933,8509455,Kampote   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584022,8479594,M'mbale ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584111,8482244,Manondo kholongo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584115,8504960,Chipembere Katondo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584177,8506711,Kamphinda borehore,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584179,8509400,Mazengela  Water  point   2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584194,8513224,Mtsilo    Village   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584221,8486446,Kwindanguo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584231,8509723,Nyambo   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584254,8752101,Mkamaumoza,Sawa Group,8/27/2016,,Mzimba,0.00001,0.00001,0.00001,,Functional,,
584284,8488097,Mavume 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584302,8498690,Khalaniapa ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584315,8481010,Makoko ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584338,8486066,Chonde ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584382,8477527,Gwileni ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584395,8499314,Khudze ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584448,8488921,Mtengowanthenga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584496,8478896,Chikombelo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584507,8489591,Senga T.D.C ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584509,8517024,Mdayenda  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584514,8515347,Jonas  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584527,8511546,Chipeni    ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584559,8516726,Mdzamanga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584611,8509412,Mazengela  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584618,8483966,Danda ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584634,8505137,Makumbira ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584752,8785334,Lupoka,Sawa Group,11/5/2016,,Rumphi,0.00001,0.00001,0.00001,,Functional,,
584761,8516443,Mzongo 2  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584826,8899769,Mwankenja Bvungu CBCC ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
584843,8512149,Mphwaphwa   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584895,8899924,Mwankenja 1 bvungu  2,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
584921,8501277,Chidoola ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
584974,8486715,Vunguti samu ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585027,8900742,Mwankenja 2 village ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
585035,8505840,Mwangulu 2  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585041,8494910,Thotho ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585047,8483919,Tovi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585066,8501858,Kachigong'o ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585071,8488196,Jumpha  4,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585097,8505976,Mwangulu 1  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585107,8495292,Mtema ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585148,8495042,Thotho ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585172,8506367,Maloma  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585198,8487847,Makanda  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585252,8902333,Mwakalenga nduwanga ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
585269,8496994,Pomphe 2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585294,8491730,Kamdebede 1 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585297,8496225,Sidze primary school ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585313,8485290,Kupeta ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585319,8512971,Kapotwe   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585333,8502096,Ndeya ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585336,8486037,Funse  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585350,8903855,VH Mwakalenga 2 ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
585363,8492892,Kayara ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585379,8507835,Ng'anjo  Water  Point ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585409,8479449,Chafunyala ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585423,8478198,Kawaza  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585445,8500237,Mwandauka ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585463,8496782,Pomphe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585479,8487752,Kapisilira 3 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585516,8496062,Mndangadzi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585539,8506531,Mandele village  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585567,8488294,Dete  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585572,8493173,Bwetu ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585600,8491461,Kantebede ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585608,8902619,Mwangolela ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
585616,8492271,Mthifu ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585655,8506320,Kanyangala Village ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585664,8502605,Bimphi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585675,8493287,Sabilika ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585718,8513945,Lotani    ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585731,8506436,Kenyangala Primary School ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585767,8493192,Chiponde primary school,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585781,8488091,Kapisilira ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585800,8499279,Kalipindire primary school,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585862,8509358,Kapichi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585865,8502095,Kafansiyanji ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585868,8498859,Sambwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585879,8488142,Kapisilira 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585889,8493203,Komtho ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585918,8499086,Khofi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585922,8502529,Mawa ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585933,8501567,Bwebvu school ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
585962,8496878,Kawirikiza ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586051,8502120,Kafansianji 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586124,8499631,Chipembere mchere ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586177,8489781,Kazingantchile ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586200,8500499,Gwaza ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586227,8501870,Mkulumimba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586341,8509007,Mapondela   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586345,8734858,Baula,Sawa Group,8/22/2016,,Mzimba,0.00001,0.00001,0.00001,,Functional,,
586387,8501626,Kachipeso ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586426,8508728,Kaphaidyani  Water  Point ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586434,8500743,Mkutuma ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586496,8479978,Magombani ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586530,8483139,Thambwe 3,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586549,8488157,Sikalaluka  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586605,8501652,Kajawa ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586631,8508704,Chiphazi   ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586681,8481846,Kamkwamba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586731,8900976,Mwangolobo borehore ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
586749,8483005,Thambwe 2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586781,8479842,Mtima ukanena ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586790,8509253,Chisomo CBO ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586798,8487237,Ng'ozi primary ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586828,8501656,Ching'mbe birehole,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586878,8509147,Katsika  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
586938,8485907,Chipelepete ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587004,8501739,Samu ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587029,8480261,Mbiri mtengelenji,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587034,8480349,Kalozela ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587060,8482499,Kankwamba 1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587062,8480531,Chanzui ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587090,8480734,Chanzi ganizani ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587091,8482178,Phereni,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587137,8482771,Thambwe 1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587146,8487694,Chiphwekha ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587177,8738304,Bwabwa,Sawa Group,8/19/2016,,Mzimba,0.00001,0.00001,0.00001,,Functional,,
587188,8484129,Chivala primary school 1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587203,8481009,Mgubo 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587237,8485491,Chinyama  1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587248,8501776,Tsokalamzati ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587341,8489921,Mbeza  1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587358,8485590,Chinyama 2  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587368,8937452,Antony Mwalilino  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
587382,8499338,Ekelesi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587402,8479197,Chinkhuti CDSS,Borehole Construction Fund,,,Lilongwe,0.00001,0.00001,0.00001,,Functional,,
587482,8480953,Mgubo 1 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587526,8499548,Ekelesi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587542,8488785,Nathambwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587580,8899908,Mwamasapa 1  2,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
587582,8488077,Gaven  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587630,8492136,Chabvwinyala ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587698,8504476,Pondamwala ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587706,8484074,Chivala ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587719,8504888,Mkokha ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587769,8899512,Mwamasapa 1 warerpoint 1,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
587770,8501795,Mphamba,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587788,8503872,Nyakhazi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587791,8500999,Msalanyama ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587843,8481843,chigwalu BH,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587843,8936684,Nakatendo fp school ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
587857,8479254,Kawiri ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587860,8489067,Mdyaviteche ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587897,8488323,Mtola  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587927,8501722,Khwamba cbo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
587939,8504709,Mjeza ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588072,8481853,kundwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588112,8936292,Tabia Ngonya ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588137,8936408,Timoti  2,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588228,8900220,Mwanyesha kalambo ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588233,8490120,Goma ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588263,8504781,Chilimila,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588272,8480412,mdyomba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588339,8500135,Yesaya ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588367,8484634,Chivumbula  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588382,8504722,Mphamba misolo,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588386,8492173,Chiwale ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588410,8481554,Kamphangale ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588416,8898771,Nkhando fp school  2,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588430,8898547,Nkhando fp school  1,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588448,8498768,Chilima primary school,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588452,8501309,Mawanga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588476,8504610,Chombwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588540,8494154,Thotho ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588562,8498463,Mundawagona,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588573,8505127,Bekete ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588594,8498895,Chimanga,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588622,8898938,Kalalamuka ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588651,8494357,Thotho 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588655,8936479,Lameck Mtambo ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588663,8900388,Fughala ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588683,8489854,Mdyaviteche 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588711,8500898,Khombera  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588838,8498396,Chalunda,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588857,8505786,Njobvu ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588949,8932936,Tendi primary school ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
588950,8481275,Mtunthama primary school  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
588983,8933598,Iponga community day secondary school ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589006,8898900,Mwalupondo ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589063,8481213,Mtunthama school ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589086,8493562,Mgandali 1 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589088,8505954,Pakuya ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589092,8483020,Mambala ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589114,8482070,Mononga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589117,8896037,Towo primary school ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589131,8498959,Chiwandiwa 3,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589154,8500389,Nkhombela ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589156,8934694,Nyasa  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589215,8895664,Nyondo ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589234,8900383,Mwalupondo 1 ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589292,8897027,Towo  1,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589293,8484964,Mwazalamba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589306,8898284,Mpata secondary school ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589361,8898861,Mpata health centre,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589374,8485015,Ntchenenje ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589375,8486372,Mzula  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589396,8478563,Mkukula 1  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589421,8483022,Kazengela  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589436,8898289,Belu ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589475,8478791,Mukukula ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589500,8495125,Chimbalanga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589501,8900151,Mwenitete 3 ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589569,8489505,Kundwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589578,8488176,Chimbwala  2,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589589,8500526,Msanyama Shelter ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589617,8483263,Jekete ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589637,8933626,Mwakaboko  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589648,8500204,Lambwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589654,8489083,Chiundira school ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589747,8898863,Ndirande ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589750,8505313,Jason ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589755,8488730,Chimbwala 3 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589758,8900701,Mpanda borehore ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589759,8900710,Mwenitete 1 ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589764,8924902,Chigonthi ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589801,8478695,Kacheta 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589803,8493511,Mgandali 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589812,8489106,Nyalubwe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589834,8478405,Kacheta  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589834,8915999,Blessings Mwaulambo ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589900,8917166,Lestings Mwaulambo  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589932,8500399,Msanyama ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589943,8490314,Kalinde ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
589950,8898250,Mphanya ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589953,8901304,Mwenitete 6 ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589975,8919471,Wilore CDSS  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
589994,8499599,Ngolomi borehoke 1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590056,8889268,Mbale's ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590061,8487356,Tambala ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590079,8486096,Ndalama village,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590105,8478988,Mkukula 3  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590148,8478640,Mahamba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590156,8499627,Ngolome 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590163,8914395,Malili  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590170,8488782,Masinja ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590189,8484111,Mtata 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590241,8488481,Ngalazuka ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590242,8486730,Tcholonjo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590252,8901509,Silu Primary School borehore ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590276,8921607,Malopa  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590320,8931958,Kalembo primary school  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590357,8500481,Kauma ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590366,8506024,Yowasi ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590399,8504158,Khwethe ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590425,8917474,Cain Nyondo ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590440,8901189,Mwanganya Resource Centre borehore ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590444,8913834,Gilia boerhole2,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590449,8492751,Likunga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590472,8925001,Kanongo  2,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590473,8505469,Mamba Liwamba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590479,8892881,Ki ira ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590519,8505334,Chibazi Primary School ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590521,8918019,Mwaulambo Primary school  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590540,8505684,Chibazi 1 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590541,8505580,Chibazi ccap  1,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590545,8504160,Perekamoyo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590553,8914968,Kulukuta  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590555,8898518,Agripa ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590624,8499755,Kapudzula ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590643,8921657,Kafulu primary school  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590648,8918518,Makitosha Boyd ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590649,8908055,Kasoba borehore ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590651,8505747,Jephter Chatsalira ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590656,8917207,Ndamiwe mwandala  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590669,8890344,Chipakama ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590700,8896763,Kajumba  ,,,,Karonga,0.00001,0.00001,0.00001,,Functional,,
590729,8504430,Nyemba 2 ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590757,8492458,Gundamavu  ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590759,8546941,Malomo EPA near Police,Borehole Construction Fund,,,Ntchisi,0.00001,0.00001,0.00001,,Functional,,
590759,8505988,Chilumba ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590768,8479717,Gogo ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
590781,8493991,Kalonga ,,,,Dowa,0.00001,0.00001,0.00001,,Functional,,
